,group,enemies_slain,gain,player_life,enemy_life,time
0,best_7,2.0,-160.67999999999975,16.415000000000035,36.5,2355.225
1,best_4,1.8,-247.19999999999973,14.600000000000033,45.5,2423.05
2,best_9,2.0,-239.5199999999997,17.810000000000038,47.75,2335.775
3,best_1,1.8,-228.67999999999975,17.415000000000028,46.0,2371.45
4,best_6,1.4,-258.2399999999998,12.970000000000024,45.25,2388.575
5,best_8,1.2,-313.79999999999984,12.275000000000015,51.5,2392.075
6,best_3,1.4,-246.3199999999997,11.710000000000033,42.5,2391.4
7,best_2,1.6,-210.6799999999997,9.415000000000038,35.75,2366.225
8,best_10,2.0,-78.23999999999972,18.970000000000034,28.75,2375.65
9,best_5,0.8,-371.35999999999984,8.080000000000014,54.5,2308.75
